crypto,date,close,log_return,open,high,low,volume,target_7d,vol_30,sma,ema,momentum,cci,regime_label
BNBUSDT,2020-07-28,20.1732,0.021333153733404053,19.7489,20.6834,19.4281,3516712.35,0.09941521089701544,0.023890726836416257,18.396592857142856,18.713476487484165,2.0942000000000007,126.28438422850411,0
BNBUSDT,2020-07-29,19.899,-0.013685511633347414,20.1692,20.4091,19.7404,2219760.2,0.15661581746478026,0.024243798077444353,18.5583,18.871546289152942,2.2638999999999996,100.57340853239442,0
BNBUSDT,2020-07-30,19.97,0.0035616682161951907,19.8926,20.0995,19.5111,2052250.83,0.13027685347937723,0.02412472810807049,18.758678571428568,19.01800678393255,2.805299999999999,77.70305956917032,0
BNBUSDT,2020-07-31,20.6615,0.03404091769404882,19.97,20.855,19.9102,2251101.21,0.07776199587393995,0.024326413228172302,19.015385714285713,19.237139212741543,3.5939000000000014,104.19538360175267,0
BNBUSDT,2020-08-01,21.6168,0.04519872503373312,20.6637,21.74,20.51,2657942.85,0.058687432748774526,0.02411381826492295,19.33439285714286,19.554427317709337,4.466100000000001,140.57489134520753,0
BNBUSDT,2020-08-02,20.9898,-0.02943418471519088,21.6204,22.1832,19.1,3352897.46,0.06600601429108677,0.025078889204545304,19.54685,19.74581034201476,2.9743999999999993,95.74041695152702,0
BNBUSDT,2020-08-03,22.0504,0.04929413687757078,20.9899,22.5,20.7,2668345.02,0.0262505758468512,0.026036097961969974,19.874414285714288,20.05308896307946,4.585899999999999,152.81554237773724,0
BNBUSDT,2020-08-04,22.2818,0.010439459424005815,22.0622,22.4433,21.41,2393749.74,-0.04552332879889898,0.0258642080579633,20.19965,20.350250434668865,4.5533,151.67031572389752,0
BNBUSDT,2020-08-05,23.2728,0.04351509493441741,22.2967,23.54,22.0566,3698317.51,-0.07960917671465895,0.025470266718746845,20.56985,20.73992371004635,5.1828,173.83585008562886,0
BNBUSDT,2020-08-06,22.7487,-0.02277729576920784,23.2685,23.315,22.5,2442941.26,-0.04412672190042999,0.02599524587122264,20.855471428571427,21.007760548706838,3.9986999999999995,135.50718649419434,0
BNBUSDT,2020-08-07,22.3323,-0.01847393991138846,22.7488,22.9999,21.4515,2770775.51,0.03400199903966783,0.026274808186782073,21.080257142857143,21.18436580887926,3.1469999999999985,82.05318275210641,0
BNBUSDT,2020-08-08,22.9234,0.0261241619085677,22.3323,22.9241,21.8571,2408862.4,0.007159110372186195,0.025594940384890418,21.301628571428573,21.416237034362027,3.0991999999999997,86.29778977401051,0
BNBUSDT,2020-08-09,22.422,-0.02211560317287864,22.923,22.9233,22.0462,2112178.17,0.04819108316723719,0.026021335939166855,21.506364285714284,21.550338763113757,2.866299999999999,69.76326103687286,0
BNBUSDT,2020-08-10,22.6369,0.009538698433335213,22.4224,22.77,22.0462,2108928.42,0.03725313176610712,0.0259664174808711,21.712757142857146,21.69521359469859,2.8895000000000017,62.49567861985197,0
